Mine,Ndvi,Slope,Rainfall,Label,Year,FoS
Katras,0.74,14.7,447.4,Unstable,2018,1.26
Katras,0.56,33.3,479.5,Stable,2019,1.38
Katras,0.53,30.9,509.7,Stable,2020,1.71
Katras,0.78,16.7,789.3,Unstable,2021,1.15
Katras,0.76,31.0,468.9,Unstable,2022,0.97
Katras,0.34,18.7,679.9,Stable,2023,1.56
Katras,0.76,18.6,846.4,Stable,2024,1.56
Tirap,0.5,19.6,622.1,Stable,2010,1.68
Tirap,0.29,24.9,582.9,Unstable,2011,1.17
Tirap,0.62,31.1,394.3,Stable,2012,1.7
Tirap,0.58,25.0,388.5,Unstable,2013,1.02
Tirap,0.31,31.2,882.8,Stable,2014,1.61
Tirap,0.71,32.7,760.6,Unstable,2015,1.09
Tirap,0.47,24.3,681.9,Stable,2016,1.8
Tirap,0.57,19.2,659.1,Stable,2017,1.5
Tirap,0.29,21.3,352.9,Stable,2018,1.67
Tirap,0.48,15.6,686.7,Stable,2019,1.32
Tirap,0.33,12.6,468.7,Stable,2020,1.42
Tirap,0.25,32.8,622.6,Stable,2021,1.38
Tirap,0.71,11.7,481.9,Stable,2022,1.53
Tirap,0.47,20.9,605.2,Unstable,2023,1.02
Tirap,0.76,28.3,861.4,Unstable,2024,1.19
Tipong,0.58,14.9,714.2,Unstable,2010,1.04
Tipong,0.22,28.7,683.5,Unstable,2011,0.82
Tipong,0.29,20.0,449.8,Stable,2012,1.36
Tipong,0.2,29.0,788.3,Stable,2013,1.36
Tipong,0.49,19.3,515.4,Stable,2014,1.73
Tipong,0.59,17.4,525.5,Stable,2015,1.95
Tipong,0.34,29.3,539.0,Unstable,2016,0.86
Tipong,0.69,15.0,726.1,Unstable,2017,0.89
Tipong,0.77,31.2,504.3,Stable,2018,1.75
Tipong,0.75,18.5,887.7,Stable,2019,1.54
Tipong,0.23,28.8,386.0,Stable,2020,1.68
Tipong,0.27,30.1,634.5,Stable,2021,1.52
Tipong,0.55,15.7,658.6,Unstable,2022,1.14
Tipong,0.48,22.9,560.7,Stable,2023,1.53
Tipong,0.42,11.0,590.4,Stable,2024,1.76
Ledo,0.41,17.0,747.2,Stable,2010,1.32
Ledo,0.36,16.4,587.5,Unstable,2011,1.16
Ledo,0.35,29.4,885.1,Stable,2012,1.66
Ledo,0.59,23.5,306.9,Stable,2013,1.36
Ledo,0.62,31.8,431.7,Unstable,2014,1.21
Ledo,0.71,25.9,306.2,Stable,2015,1.33
Ledo,0.64,24.8,766.5,Stable,2016,1.91
Ledo,0.67,33.9,432.1,Stable,2017,1.99
Ledo,0.67,27.6,663.1,Stable,2018,1.94
Ledo,0.31,30.1,559.7,Unstable,2019,0.89
Ledo,0.21,28.2,693.5,Unstable,2020,0.84
Ledo,0.77,23.0,887.1,Unstable,2021,0.94
Ledo,0.5,13.7,633.5,Stable,2022,1.9
Ledo,0.48,29.3,710.7,Unstable,2023,1.22
Ledo,0.35,17.8,522.8,Stable,2024,1.71
Tikak,0.58,32.5,836.7,Stable,2010,1.49
Tikak,0.69,20.0,487.8,Stable,2011,1.63
Tikak,0.54,23.1,453.9,Unstable,2012,1.0
Tikak,0.22,32.9,336.1,Stable,2013,1.39
Tikak,0.51,28.3,499.7,Unstable,2014,0.86
Tikak,0.67,11.9,595.5,Stable,2015,1.58
Tikak,0.22,30.0,838.8,Stable,2016,1.71
Tikak,0.27,13.7,687.5,Stable,2017,1.53
Tikak,0.59,17.0,588.9,Stable,2018,1.97
Tikak,0.29,13.1,343.0,Stable,2019,1.84
Tikak,0.68,34.5,717.3,Stable,2020,1.85
Tikak,0.39,25.2,561.5,Unstable,2021,0.82
Tikak,0.53,21.6,774.7,Stable,2022,1.77
Tikak,0.6,32.9,373.3,Stable,2023,1.39
Tikak,0.46,25.0,617.2,Stable,2024,1.89
Margherita,0.65,15.9,383.6,Stable,2010,1.44
Margherita,0.78,16.8,828.7,Stable,2011,1.78
Margherita,0.36,30.8,750.5,Stable,2012,1.6
Margherita,0.79,33.6,455.6,Unstable,2013,0.98
Margherita,0.37,31.1,690.8,Unstable,2014,0.97
Margherita,0.51,30.5,777.1,Stable,2015,1.59
Margherita,0.32,32.6,664.2,Unstable,2016,1.08
Margherita,0.28,20.1,628.3,Stable,2017,1.42
Margherita,0.24,28.7,594.2,Unstable,2018,0.87
Margherita,0.59,19.9,857.7,Unstable,2019,0.86
Margherita,0.32,12.3,539.9,Stable,2020,1.58
Margherita,0.53,14.1,667.3,Unstable,2021,1.23
Margherita,0.35,16.1,613.6,Unstable,2022,0.96
Margherita,0.66,19.0,387.6,Stable,2023,1.7
Margherita,0.37,19.0,643.4,Unstable,2024,1.12
Namchik,0.46,34.5,884.0,Stable,2010,1.39
Namchik,0.65,26.3,361.7,Stable,2011,1.5
Namchik,0.25,23.0,486.7,Stable,2012,1.68
Namchik,0.67,14.7,396.4,Stable,2013,1.62
Namchik,0.67,29.5,684.6,Unstable,2014,1.15
Namchik,0.42,11.1,637.3,Stable,2015,1.63
Namchik,0.38,29.0,651.7,Unstable,2016,1.03
Namchik,0.41,27.1,838.4,Stable,2017,1.66
Namchik,0.66,33.0,692.1,Stable,2018,1.36
Namchik,0.34,14.0,506.0,Unstable,2019,0.95
Namchik,0.26,18.1,858.6,Unstable,2020,1.27
Namchik,0.48,33.9,408.6,Stable,2021,1.39
Namchik,0.42,27.3,665.9,Unstable,2022,0.83
Namchik,0.41,24.9,309.9,Stable,2023,1.97
Namchik,0.32,21.1,796.1,Stable,2024,1.89
Chandrapur,0.57,28.4,894.0,Stable,2010,2.0
Chandrapur,0.71,19.3,551.6,Stable,2011,1.62
Chandrapur,0.22,28.2,858.9,Unstable,2012,1.14
Chandrapur,0.62,34.6,887.2,Stable,2013,1.39
Chandrapur,0.52,11.4,678.9,Unstable,2014,1.07
Chandrapur,0.51,28.3,764.3,Unstable,2015,1.22
Chandrapur,0.29,14.7,349.0,Stable,2016,1.57
Chandrapur,0.79,23.2,564.6,Unstable,2017,0.84
Chandrapur,0.33,28.4,398.1,Stable,2018,1.53
Chandrapur,0.64,20.3,801.8,Stable,2019,1.42
Chandrapur,0.28,16.2,411.3,Stable,2020,1.43
Chandrapur,0.5,19.3,688.6,Unstable,2021,1.18
Chandrapur,0.75,22.6,342.7,Stable,2022,1.73
Chandrapur,0.55,33.8,381.4,Unstable,2023,1.08
Chandrapur,0.39,15.9,690.8,Stable,2024,1.79
Umrer,0.74,21.8,511.3,Stable,2010,1.8
Umrer,0.51,30.0,572.3,Stable,2011,1.62
Umrer,0.7,17.9,856.6,Stable,2012,1.51
Umrer,0.48,25.6,427.0,Unstable,2013,0.89
Umrer,0.72,24.1,354.2,Stable,2014,1.35
Umrer,0.34,33.2,497.1,Stable,2015,1.85
Umrer,0.5,18.8,882.6,Stable,2016,1.7
Umrer,0.55,12.2,839.7,Stable,2017,1.75
Umrer,0.64,31.4,661.6,Stable,2018,1.46
Umrer,0.25,33.1,813.2,Unstable,2019,1.04
Umrer,0.21,21.0,326.1,Stable,2020,1.56
Umrer,0.76,18.1,653.8,Unstable,2021,0.92
Umrer,0.75,26.0,448.6,Unstable,2022,0.85
Umrer,0.55,16.9,803.7,Unstable,2023,0.96
Umrer,0.76,10.4,866.9,Stable,2024,1.54
Kamptee,0.42,14.1,376.0,Unstable,2010,1.01
Kamptee,0.56,26.5,629.4,Stable,2011,1.45
Kamptee,0.73,17.4,348.5,Unstable,2012,1.29
Kamptee,0.51,16.9,544.2,Stable,2013,1.69
Kamptee,0.68,12.2,501.5,Unstable,2014,1.13
Kamptee,0.24,24.6,866.4,Unstable,2015,0.84
Kamptee,0.54,32.7,875.2,Unstable,2016,1.23
Kamptee,0.7,17.3,443.0,Stable,2017,1.82
Kamptee,0.63,17.4,366.0,Stable,2018,1.57
Kamptee,0.63,34.3,506.4,Stable,2019,1.59
Kamptee,0.24,12.5,508.4,Unstable,2020,1.2
Kamptee,0.41,17.6,499.6,Stable,2021,1.65
Kamptee,0.36,18.2,609.2,Stable,2022,1.42
Kamptee,0.59,14.6,688.2,Stable,2023,1.89
Kamptee,0.78,10.6,822.0,Stable,2024,1.33
Majri,0.52,12.1,352.1,Stable,2010,1.76
Majri,0.44,17.7,579.0,Unstable,2011,1.08
Majri,0.37,29.3,397.2,Stable,2012,1.62
Majri,0.39,22.6,602.8,Stable,2013,1.4
Majri,0.59,20.0,551.3,Unstable,2014,0.87
Majri,0.59,17.6,809.3,Stable,2015,1.93
Majri,0.61,20.1,392.0,Unstable,2016,1.23
Majri,0.68,20.9,497.8,Stable,2017,1.59
Majri,0.31,24.5,870.9,Stable,2018,1.97
Majri,0.38,20.4,369.0,Unstable,2019,0.88
Majri,0.62,12.3,761.7,Stable,2020,1.42
Majri,0.31,10.7,371.3,Stable,2021,1.87
Majri,0.74,23.0,803.5,Stable,2022,1.77
Majri,0.31,16.1,404.6,Stable,2023,1.9
Majri,0.46,30.9,468.3,Unstable,2024,1.05
Ballarpur,0.28,13.4,318.6,Unstable,2010,1.02
Ballarpur,0.5,31.3,762.5,Stable,2011,1.54
Ballarpur,0.45,23.8,525.4,Unstable,2012,0.8
Ballarpur,0.27,20.2,737.5,Stable,2013,1.57
Ballarpur,0.5,23.6,784.5,Unstable,2014,1.1
Ballarpur,0.7,32.5,410.4,Stable,2015,1.75
Ballarpur,0.48,22.4,772.0,Unstable,2016,1.07
Ballarpur,0.67,29.8,546.6,Stable,2017,1.75
Ballarpur,0.44,21.9,807.1,Stable,2018,1.86
Ballarpur,0.21,21.9,749.9,Unstable,2019,0.91
Ballarpur,0.21,23.2,893.5,Unstable,2020,1.26
Ballarpur,0.56,15.0,826.4,Unstable,2021,0.89
Ballarpur,0.42,15.1,583.1,Unstable,2022,1.06
Ballarpur,0.32,25.3,677.7,Stable,2023,1.81
Ballarpur,0.35,20.7,601.5,Stable,2024,1.46
Pench,0.68,28.7,633.7,Stable,2010,1.56
Pench,0.23,28.9,364.8,Unstable,2011,1.0
Pench,0.76,34.0,393.3,Stable,2012,1.35
Pench,0.52,31.1,712.3,Stable,2013,1.59
Pench,0.53,16.8,804.3,Unstable,2014,0.9
Pench,0.38,27.0,430.0,Stable,2015,1.32
Pench,0.46,32.7,400.3,Stable,2016,1.52
Pench,0.36,13.0,827.5,Stable,2017,1.56
Pench,0.73,13.0,568.5,Stable,2018,1.57
Pench,0.26,16.3,349.2,Unstable,2019,1.04
Pench,0.62,19.9,871.5,Unstable,2020,1.2
Pench,0.76,21.6,613.8,Stable,2021,1.69
Pench,0.46,11.8,428.4,Stable,2022,2.0
Pench,0.75,28.7,619.3,Stable,2023,1.54
Pench,0.4,17.8,562.6,Stable,2024,1.46
New Majri,0.48,31.8,807.1,Unstable,2010,1.27
New Majri,0.25,21.8,871.1,Stable,2011,1.77
New Majri,0.58,21.7,835.1,Stable,2012,1.84
New Majri,0.71,29.1,546.9,Unstable,2013,1.02
New Majri,0.22,28.6,323.1,Stable,2014,1.9
New Majri,0.64,17.0,532.2,Stable,2015,1.8
New Majri,0.5,30.6,503.9,Stable,2016,1.4
New Majri,0.34,34.0,529.5,Unstable,2017,1.26
New Majri,0.22,24.0,548.3,Stable,2018,1.69
New Majri,0.34,12.4,789.6,Stable,2019,1.38
New Majri,0.61,16.3,516.5,Unstable,2020,1.17
New Majri,0.35,28.0,800.0,Unstable,2021,0.83
New Majri,0.69,19.5,703.9,Stable,2022,1.52
New Majri,0.3,19.7,680.5,Stable,2023,1.63
New Majri,0.45,21.5,648.9,Stable,2024,1.73
Patharkhera,0.29,24.1,380.3,Stable,2010,1.72
Patharkhera,0.78,24.0,891.7,Stable,2011,2.0
Patharkhera,0.31,23.4,593.2,Stable,2012,1.44
Patharkhera,0.74,19.6,544.5,Unstable,2013,1.11
Patharkhera,0.42,29.9,499.3,Stable,2014,1.63
Patharkhera,0.4,33.3,668.5,Stable,2015,1.79
Patharkhera,0.21,11.1,830.0,Stable,2016,1.88
Patharkhera,0.49,19.4,303.0,Unstable,2017,0.99
Patharkhera,0.57,21.2,430.2,Stable,2018,1.75
Patharkhera,0.6,28.7,431.1,Unstable,2019,0.9
Patharkhera,0.53,12.2,315.4,Unstable,2020,1.0
Patharkhera,0.52,21.0,606.1,Unstable,2021,1.04
Patharkhera,0.26,13.5,732.0,Stable,2022,1.91
Patharkhera,0.22,27.2,700.5,Unstable,2023,0.93
Patharkhera,0.23,33.8,868.8,Unstable,2024,0.9
Satpura,0.75,17.6,507.9,Unstable,2010,1.12
Satpura,0.47,21.3,420.5,Stable,2011,1.53
Satpura,0.22,21.0,758.7,Unstable,2012,0.9
Satpura,0.73,33.8,635.7,Unstable,2013,1.24
Satpura,0.27,24.5,690.8,Unstable,2014,1.25
Satpura,0.56,16.0,530.8,Stable,2015,1.68
Satpura,0.28,34.5,368.8,Stable,2016,1.74
Satpura,0.74,23.3,435.7,Unstable,2017,0.83
Satpura,0.34,10.1,612.9,Unstable,2018,0.93
Satpura,0.37,14.3,381.3,Unstable,2019,0.91
Satpura,0.4,17.5,634.4,Unstable,2020,0.82
Satpura,0.79,27.5,697.7,Stable,2021,1.64
Satpura,0.59,17.7,397.1,Stable,2022,1.36
Satpura,0.21,28.3,543.4,Stable,2023,1.89
Satpura,0.27,14.3,831.5,Stable,2024,1.54
Amgaon,0.56,16.6,647.6,Unstable,2010,1.01
Amgaon,0.6,21.4,575.8,Unstable,2011,0.93
Amgaon,0.77,32.3,747.5,Stable,2012,2.0
Amgaon,0.7,13.6,602.3,Unstable,2013,0.85
Amgaon,0.75,17.4,368.5,Unstable,2014,1.24
Amgaon,0.34,19.3,457.4,Unstable,2015,1.14
Amgaon,0.36,19.9,873.7,Stable,2016,1.89
Amgaon,0.27,31.7,465.8,Unstable,2017,1.25
Amgaon,0.63,34.7,503.6,Unstable,2018,0.93
Amgaon,0.34,29.6,530.9,Stable,2019,1.52
Amgaon,0.21,23.7,612.1,Unstable,2020,0.88
Amgaon,0.46,17.1,501.7,Unstable,2021,1.11
Amgaon,0.74,12.9,607.4,Stable,2022,1.56
Amgaon,0.34,30.4,747.7,Unstable,2023,1.06
Amgaon,0.57,15.1,361.4,Unstable,2024,0.89
Ghugus,0.74,32.5,562.8,Unstable,2010,1.09
Ghugus,0.23,26.7,466.2,Stable,2011,1.4
Ghugus,0.54,34.9,645.1,Unstable,2012,1.23
Ghugus,0.53,22.8,312.5,Stable,2013,1.85
Ghugus,0.75,11.5,853.8,Unstable,2014,1.25
Ghugus,0.5,13.6,347.0,Stable,2015,1.94
Ghugus,0.59,34.9,476.5,Stable,2016,1.98
Ghugus,0.71,11.4,480.6,Stable,2017,1.57
Ghugus,0.71,23.0,428.9,Unstable,2018,1.11
Ghugus,0.31,30.1,667.3,Unstable,2019,1.12
Ghugus,0.35,23.7,657.5,Stable,2020,1.65
Ghugus,0.73,14.9,741.2,Unstable,2021,1.06
Ghugus,0.3,18.9,609.7,Stable,2022,1.86
Ghugus,0.53,13.0,401.2,Unstable,2023,0.93
Ghugus,0.65,15.9,819.8,Unstable,2024,1.26
Kenda,0.49,16.2,859.1,Stable,2010,1.34
Kenda,0.39,24.1,658.3,Stable,2011,1.87
Kenda,0.21,32.4,551.9,Unstable,2012,1.01
Kenda,0.35,29.7,583.9,Unstable,2013,1.27
Kenda,0.65,11.0,419.4,Unstable,2014,1.06
Kenda,0.31,22.4,796.7,Stable,2015,1.72
Kenda,0.62,26.9,762.5,Stable,2016,1.41
Kenda,0.73,32.8,534.7,Stable,2017,1.43
Kenda,0.23,24.7,827.5,Stable,2018,1.64
Kenda,0.31,28.5,680.7,Stable,2019,1.9
Kenda,0.42,34.4,647.2,Unstable,2020,1.02
Kenda,0.76,21.7,655.1,Unstable,2021,1.23
Kenda,0.57,18.4,567.7,Stable,2022,1.62
Kenda,0.24,26.1,731.6,Stable,2023,1.85
Kenda,0.23,15.8,428.0,Stable,2024,1.57
Kolar,0.33,18.9,834.2,Stable,2010,1.54
Kolar,0.75,10.6,399.2,Unstable,2011,0.8
Kolar,0.58,20.5,425.5,Stable,2012,1.78
Kolar,0.63,33.1,403.3,Stable,2013,1.94
Kolar,0.44,13.4,813.7,Stable,2014,1.87
Kolar,0.79,23.2,637.4,Stable,2015,1.55
Kolar,0.46,26.7,440.0,Unstable,2016,1.24
Kolar,0.65,21.4,414.6,Stable,2017,1.4
Kolar,0.33,26.2,523.2,Stable,2018,1.71
Kolar,0.48,26.2,744.5,Unstable,2019,1.03
Kolar,0.37,34.7,524.1,Unstable,2020,0.83
Kolar,0.44,27.6,810.5,Unstable,2021,1.04
Kolar,0.56,30.6,394.4,Stable,2022,1.99
Kolar,0.76,13.1,430.1,Stable,2023,1.42
Kolar,0.48,22.1,570.8,Stable,2024,1.46
